id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/eba0c5b1-7f40-4d17-8d33-adfbfcf94c89,,H. 57 On adoption of amendment #6,['passage'],2025-02-06T19:35:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/b4790909-d969-444a-91f8-2fb715ab1490,,H. 57 On adoption of amendment #8,['passage'],2025-02-06T19:48:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/e03b0a00-317f-4e6e-b51f-8038811942a4,,H. 57 On adoption of amendment #16,['passage'],2025-02-06T20:07:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/2742d4f3-fb1c-43ab-b280-3b390b6f4aab,,H. 57 On adoption of amendment #18,['passage'],2025-02-06T20:25:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/85760cee-85c6-4c34-b283-6119a383c417,,"H. 57 ""Shall the decis ion of the Chair stand?'",['passage'],2025-02-06T20:41:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/42988f3e-bd56-4ad1-ad38-83e0add722eb,,"H. 57 ""Shall the decis ion of the Chair stand?'",['passage'],2025-02-06T21:11:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/03c9919a-30cc-4bd7-9194-b1bd216b82bd,,"H. 57 On adoption of amendment #27, changed",['passage'],2025-02-06T21:41:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/654d6d13-ec6f-45db-9ff4-3c976eeb0831,,"H. 57 On adoption of amendment #24, changed",['passage'],2025-02-06T21:47:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/8ea635c6-9400-4a03-a22f-41391e32cc18,,"H. 57 On adoption of amendment #15, changed",['passage'],2025-02-06T21:54:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/77972a59-e206-4cc6-af78-35f02429db6a,,"H. 57 On adoption of amendment #9, changed",['passage'],2025-02-06T22:00:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/10446b16-ef59-45eb-a77e-e86523bd446f,,H. 57 On Engrossment,['passage'],2025-02-06T22:03:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/30ddf47e-0047-4227-8096-9dda96853467,,Massachusetts,194th
ocd-vote/7091ff84-8633-4200-ad82-a0a062ac69b0,,"Acceptance of the report, as amended,",[],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/6dcf88c9-cb0a-4226-9193-661ebf4ec495,,Massachusetts,194th
ocd-vote/91c59e69-eb00-4b96-9dbf-e3b4122a08d3,,Adoption of the amendment,['amendment'],2025-02-12,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/6dcf88c9-cb0a-4226-9193-661ebf4ec495,,Massachusetts,194th
ocd-vote/04aca224-3fe4-4d61-b17c-0dc0cc3f29c4,,Adoption of the amendment,['amendment'],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/dcac6ff8-cace-45f8-ba84-04ab929d5652,,Massachusetts,194th
ocd-vote/a033cc52-1cc4-47b9-8871-dddeca79cc2c,,"Acceptance of the report, as amended,",[],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/64b58a50-adde-486a-a0e7-e4eb7c9a498a,,Massachusetts,194th
ocd-vote/6591bd89-c660-411e-a2a9-9ddf60bfa3f7,,Adoption of the amendment,['amendment'],2025-02-12,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/64b58a50-adde-486a-a0e7-e4eb7c9a498a,,Massachusetts,194th
ocd-vote/fbf3613e-7dca-4526-922a-57765edb4904,,Passing the bill to be engrossed,['passage'],2025-02-12,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/6dcf88c9-cb0a-4226-9193-661ebf4ec495,,Massachusetts,194th
ocd-vote/eadc0475-f9fb-4091-9b4a-05a6cc10d536,,H. 61 Text of a further amendment to H.58,['passage'],2025-02-25T19:22:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5dfff867-1833-4591-9f02-ef2a0fcd389e,,Massachusetts,194th
ocd-vote/96bb1fb4-107b-4c13-9492-98da9ddb901f,,H. 2026 On adoption of amendment #2,['passage'],2025-02-25T20:05:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/3e3f434f-adcb-41ac-9477-39c0fec94e1b,,Massachusetts,194th
ocd-vote/9eb36569-a17d-42b3-9fa4-3da4a1714e56,,H. 2026 On adoption of amendment #3,['passage'],2025-02-25T20:12:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/3e3f434f-adcb-41ac-9477-39c0fec94e1b,,Massachusetts,194th
ocd-vote/55546bc5-c566-463b-a831-f3b0c9cdb9ea,,H. 2026 On adoption of amendment #4,['passage'],2025-02-25T20:23:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/3e3f434f-adcb-41ac-9477-39c0fec94e1b,,Massachusetts,194th
ocd-vote/4b59f65e-dcd0-408e-89ec-2a3b83b7a660,,H. 2026 On adoption of amendment #5,['passage'],2025-02-25T20:35:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/3e3f434f-adcb-41ac-9477-39c0fec94e1b,,Massachusetts,194th
ocd-vote/09e071f5-dae6-41c9-b8b1-6fc7105eba63,,H. 2026 On adoption of amendment #6,['passage'],2025-02-25T20:47:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/3e3f434f-adcb-41ac-9477-39c0fec94e1b,,Massachusetts,194th
ocd-vote/6b506467-45dd-4498-b960-b2f6e9260d0e,,H. 2026 On adoption of amendment #7,['passage'],2025-02-25T20:56:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/3e3f434f-adcb-41ac-9477-39c0fec94e1b,,Massachusetts,194th
ocd-vote/8e457751-3c63-4300-9394-b7283670acc6,,H. 2026 On adoption of the order,['passage'],2025-02-25T21:00:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/3e3f434f-adcb-41ac-9477-39c0fec94e1b,,Massachusetts,194th
ocd-vote/ef910ebd-2ab8-4a11-99fa-b984812800ee,,H. 2024 On adoption of amendment #18,['passage'],2025-02-25T21:39:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/bb4c9005-88a2-44e0-9881-581db091964f,,Massachusetts,194th
ocd-vote/7eba794b-fcf9-43d5-bc71-ed831f3f934d,,H. 2024 On adoption of amendment #17,['passage'],2025-02-25T22:03:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/bb4c9005-88a2-44e0-9881-581db091964f,,Massachusetts,194th
ocd-vote/5428a889-21d5-488f-9344-ded1b7aadca9,,H. 2024 On adoption of amendment #2,['passage'],2025-02-25T22:08:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/bb4c9005-88a2-44e0-9881-581db091964f,,Massachusetts,194th
ocd-vote/c347463f-3a22-47f1-81d8-41c136452202,,H. 2024 On adoption of amendment #3,['passage'],2025-02-25T22:11:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/bb4c9005-88a2-44e0-9881-581db091964f,,Massachusetts,194th
ocd-vote/0803c1f6-f009-4b28-a0f2-a1f15d34a8ee,,H. 2024 On adoption of the order,['passage'],2025-02-25T22:14:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/bb4c9005-88a2-44e0-9881-581db091964f,,Massachusetts,194th
ocd-vote/0506513f-2a0a-484a-a8bd-4c52855bd79e,,Passing it to be enacted,['passage'],2025-02-26,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/6dcf88c9-cb0a-4226-9193-661ebf4ec495,,Massachusetts,194th
ocd-vote/29b8b7ea-e9f5-49e3-84d4-80c41a7de209,,H. 4005 On Adoption of Consolidated Amendment A,['passage'],2025-04-09T21:17:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5ad1c6d1-facc-4e8d-9a0c-d1e146c570e3,,Massachusetts,194th
ocd-vote/93b26b17-905a-481d-a614-36057d4415b7,,H. 4005 On adoption of amendment #10,['passage'],2025-04-09T21:58:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5ad1c6d1-facc-4e8d-9a0c-d1e146c570e3,,Massachusetts,194th
ocd-vote/11a6e656-f511-4292-b3bb-83ee47fc82e0,,H. 4005 On Adoption of Consolidated Amendment B,['passage'],2025-04-09T22:04:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5ad1c6d1-facc-4e8d-9a0c-d1e146c570e3,,Massachusetts,194th
ocd-vote/f172fbee-fe80-44bf-a409-efd2ec2c166b,,H. 4005 On Engrossment,['passage'],2025-04-09T22:09:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5ad1c6d1-facc-4e8d-9a0c-d1e146c570e3,,Massachusetts,194th
ocd-vote/e331001d-ca0f-4051-a75b-c4b4bc8107d8,,H. 4000 On adoption of amendment #556,['passage'],2025-04-28T16:23:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/e7450a90-2d41-4c10-a972-409d6e026523,,H. 4000 On Ordering to a third reading,['passage'],2025-04-28T16:28:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/5bf07253-ffa0-447a-8199-8575a7ed51d8,,H. 4000 On Adoption of Consolidated Amendment A,['passage'],2025-04-28T21:54:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/d177e86a-50b0-4f96-b13f-99d60af65658,,H. 4000 On Adoption of Consolidated Amendment B,['passage'],2025-04-29T00:21:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/3206d2be-bb4b-4fb7-95b6-e3f249649748,,H. 4000 On adoption of amendment #616,['passage'],2025-04-29T16:19:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/1a8272fc-04b0-4e94-b730-0278311e72c8,,H. 4000 On adoption of amendment #1643,['passage'],2025-04-29T16:33:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/db961bf8-0081-42b2-afe6-0d635b666d34,,H. 4000 On adoption of amendment #554,['passage'],2025-04-29T16:58:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/c2fccdc0-6e24-4d94-8754-ac5112109cc6,,H. 4000 On adoption of amendment #417,['passage'],2025-04-29T17:16:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/a296ed20-2c52-4887-9258-262513efea6e,,H. 4000 On adoption of amendment #606,['passage'],2025-04-29T17:25:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/577b9462-6cf0-4ead-a645-803a007e1b83,,H. 4000 On adoption of amendment #311,['passage'],2025-04-29T17:50:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/4b4b7dd4-bcc6-4ce6-bf22-a0d5b51bb0fa,,H. 4000 On Adoption of Consolidated Amendment C,['passage'],2025-04-29T18:14:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/f726631c-7eab-4c37-898c-54d5fadc6e91,,H. 4000 On Adoption of Consolidated Amendment D,['passage'],2025-04-29T20:31:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/b9d1aaf1-d299-43a3-815f-867af0a270b6,,H. 4000 On adoption of amendment #409,['passage'],2025-04-30T00:33:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/36858baa-28ef-46b9-8dd4-804850a519fa,,H. 4000 On Adoption of Consolidated Amendment E,['passage'],2025-04-30T00:42:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/34f5298f-9d70-4d0b-ab0b-f0b4071a6d99,,"H. 4000 ""Shall the decision of the Chair stand?",['passage'],2025-04-30T15:56:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/933284d1-3f10-495f-8268-1f1d158badcc,,H. 4000 On adoption of amendment #404,['passage'],2025-04-30T16:08:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/916fa054-afe7-45e2-9a06-8cb6befd90be,,H. 4000 On Adoption of Consolidated Amendment F,['passage'],2025-04-30T16:31:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/5f30305d-9612-4c22-8348-046d301f1014,,H. 4000 On Adoption of Consolidated Amendment G,['passage'],2025-04-30T20:49:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/70634b72-83a6-4e07-96c8-950f58553989,,H. 4000 On passing to be engrossed,['passage'],2025-04-30T21:09:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/330a4359-6f52-4f98-a5c9-a50e4d3d658d,,Massachusetts,194th
ocd-vote/06dd5156-d484-47d9-94b7-481be0c58c5c,,Passing the bill to be engrossed,['passage'],2025-05-08,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/036143fa-1b8a-403c-ae13-0288727bf5d8,,Massachusetts,194th
ocd-vote/a4e6ec92-83e2-4525-b1c1-e96a82d12b90,,Adoption of the amendment,['amendment'],2025-05-20,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/d9e95432-9ee6-4cd2-8008-6ecd3635ebf6,,Massachusetts,194th
ocd-vote/eae9c764-4c78-491c-9aa9-fe30eb2b7cb7,,Passing the bill to be engrossed,['passage'],2025-05-20,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/d9e95432-9ee6-4cd2-8008-6ecd3635ebf6,,Massachusetts,194th
ocd-vote/72de1a09-d168-44d1-b16d-24145a88d4d8,,H. 4150 On adoption of amendment #61,['passage'],2025-05-21T19:55:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/7b284033-8562-445e-8a8e-3c694a35b7d1,,Massachusetts,194th
ocd-vote/8d6c52ca-dd88-4986-a228-2558ac2f58c8,,"H. 4150 On adoption of amendment #27, chg",['passage'],2025-05-21T21:48:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/7b284033-8562-445e-8a8e-3c694a35b7d1,,Massachusetts,194th
ocd-vote/5af8e464-7093-479a-8dd5-5e7bc9f6d9ed,,H. 4150 On Adoption of Consolidated Amendment A,['passage'],2025-05-21T22:05:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/7b284033-8562-445e-8a8e-3c694a35b7d1,,Massachusetts,194th
ocd-vote/afde1684-2ec7-4737-a0e4-d2c62d788388,,H. 4150 On passing to be engrossed,['passage'],2025-05-21T22:09:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/7b284033-8562-445e-8a8e-3c694a35b7d1,,Massachusetts,194th
ocd-vote/8116b1b7-7f5b-40c6-ba71-b49104d78d92,,Passing the bill to be engrossed,['passage'],2025-05-29,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/1a02ffcd-3157-4791-a391-625e0d18220a,,Massachusetts,194th
ocd-vote/6482952a-0d33-43b0-942d-535f5c39f4c8,,H. 4187 On adoption of amendment #29,['passage'],2025-06-04T19:00:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/58c4f288-1e3b-44e9-aa3b-dfb1eb510a10,,Massachusetts,194th
ocd-vote/0ab01e45-a910-486d-abd0-069660418963,,"H. 4187 On adoption of amendment #36, chg",['passage'],2025-06-04T19:34:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/58c4f288-1e3b-44e9-aa3b-dfb1eb510a10,,Massachusetts,194th
ocd-vote/9dae59b2-f709-4215-967d-d9809a104594,,H. 4187 On passing to be engrossed,['passage'],2025-06-04T19:59:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/58c4f288-1e3b-44e9-aa3b-dfb1eb510a10,,Massachusetts,194th
ocd-vote/3d7bc82e-c514-4640-b984-25d21c6108e5,,Adoption of the amendment,['amendment'],2025-06-18,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/045bfd64-fa68-4d04-a67d-e64dfb885c98,,Massachusetts,194th
